id,xcentral,ycentral
0,115,110
1,117,110
2,116,109
3,116,110
4,117,110
5,117,109
6,118,109
7,118,109
8,118,109
9,118,109
10,118,105
11,118,108
12,118,107
13,119,107
14,121,107
15,120,105
16,120,105
17,120,105
18,115,106
19,91,112
20,65,113
21,63,104
22,74,90
23,86,81
24,105,77
25,149,77
26,195,87
27,213,99
28,215,114
29,205,116
30,196,126
31,188,140
32,183,160
33,165,172
34,154,169
35,149,160
36,148,133
37,145,104
38,142,83
39,138,74
40,136,70
41,136,72
42,136,71
43,138,86
44,138,99
45,135,117
46,133,134
47,133,142
48,134,157
49,131,146
50,132,122
51,136,107
52,136,92
53,137,84
54,136,74
55,140,73
56,140,86
57,141,93
58,141,95
59,185,99
60,227,113
61,255,122
62,250,117
63,221,108
64,154,97
65,110,97
66,61,105
67,21,119
68,16,123
69,25,116
70,68,108
71,118,101
72,169,103
73,188,104
74,185,104
75,184,105
76,209,126
77,212,142
78,191,160
79,159,163
80,111,150
81,68,138
82,47,126
83,48,107
84,56,92
85,75,81
86,111,71
87,142,72
88,172,75
89,206,89
90,213,95
91,213,107
92,208,117
93,196,126
94,182,132
95,157,133
96,136,132
97,106,130
98,81,127
99,70,118
100,74,110
101,102,113
102,155,108
103,186,107
104,202,104
105,214,102
106,219,97
107,208,85
108,177,74
109,140,71
110,117,73
111,86,83
112,69,90
113,67,97
114,66,104
115,78,111
116,94,116
117,129,124
118,155,128
119,182,130
120,198,128
121,212,121
122,210,109
123,213,99
124,212,93
125,194,81
126,158,72
127,124,72
128,130,75
129,178,78
130,210,96
131,208,105
132,201,110
133,?,?
134,140,127
135,113,127
136,92,123
137,83,113
138,71,102
139,61,100
140,74,85
141,92,80
142,124,81
143,159,80
144,196,91
145,212,106
146,214,117
147,212,120
148,221,111
149,214,101
150,198,91
151,167,80
152,155,79
153,153,87
154,150,104
155,151,120
156,146,138
157,140,142
158,141,130
159,144,110
160,147,96
161,145,81
162,146,74
163,143,71
164,141,74
165,128,80
166,118,91
167,110,102
168,98,105
169,71,108
170,48,109
171,49,106
172,74,101
173,130,97
174,172,103
175,202,105
176,221,109
177,232,113
178,222,109
179,196,107
180,155,102
181,117,103
182,84,101
183,54,104
184,49,103
185,76,104
186,107,99
187,165,101
188,202,105
189,206,104
190,202,102
191,180,102
192,157,101
193,146,103
194,152,117
195,149,140
196,147,152
197,141,153
198,137,137
199,140,119
200,137,97
201,136,79
202,135,71
203,134,69
204,133,70
205,129,80
206,128,101
207,131,117
208,129,139
209,129,144
210,133,132
211,135,112
212,136,87
213,142,71
214,138,68
215,136,69
