id,xcentral,ycentral
0,122,143
1,151,130
2,165,125
3,190,121
4,236,131
5,258,139
6,280,150
7,300,165
8,311,175
9,312,185
10,300,191
11,287,193
12,252,216
13,247,247
14,259,241
15,268,210
16,268,167
17,262,150
18,256,138
19,245,129
20,227,122
21,204,118
22,173,118
23,133,127
24,105,142
25,84,159
26,72,171
27,65,177
28,71,172
29,85,163
30,108,151
31,145,145
32,175,143
33,212,147
34,252,157
35,279,165
36,300,176
37,314,193
38,322,208
39,324,230
40,292,256
41,248,257
42,185,238
43,146,200
44,110,197
45,93,195
46,78,189
47,70,186
48,73,170
49,86,152
50,116,136
51,151,127
52,212,125
53,229,129
54,281,149
55,296,164
56,316,177
57,305,177
58,270,162
59,228,153
60,182,153
61,134,159
62,109,161
63,81,177
64,70,188
65,70,204
66,?,?
67,?,?
68,?,?
69,?,?
70,?,?
71,322,227
72,326,214
73,323,196
74,305,175
75,253,155
76,200,149
77,148,149
78,113,158
79,87,168
80,75,176
81,66,181
82,73,177
83,97,164
84,140,153
85,168,152
86,197,167
87,235,168
88,290,170
89,313,192
90,324,227
91,322,247
92,?,?
93,?,?
94,?,?
95,?,?
96,91,246
97,83,214
98,91,179
99,103,158
100,116,143
101,130,136
102,152,133
103,182,130
104,238,130
105,268,148
106,300,170
107,308,176
108,308,173
109,312,179
110,318,184
111,320,192
112,323,213
113,314,236
114,?,?
115,?,?
116,295,193
117,263,162
118,218,146
119,181,138
120,148,143
121,109,163
122,93,171
123,80,184
124,70,216
125,104,206
126,144,204
127,162,195
128,216,188
129,279,204
130,292,252
131,?,?
132,?,?
133,?,?
134,114,254
135,94,235
136,94,208
137,87,189
138,92,170
139,112,158
140,137,150
141,170,146
142,216,147
143,257,154
144,298,169
145,315,183
146,324,195
147,326,199
148,321,197
149,288,184
150,257,167
151,210,160
152,169,162
153,141,162
154,110,164
155,95,164
156,75,180
157,68,188
158,72,192
159,86,180
160,113,154
161,137,139
162,158,134
163,187,125
164,225,126
165,249,135
166,268,142
167,279,151
168,291,160
169,303,180
170,297,200
171,270,202
172,219,195
173,190,191
174,162,176
175,144,189
176,115,203
177,102,179
178,100,167
179,123,142
180,153,127
181,181,129
182,216,129
183,255,139
184,266,147
185,292,171
186,311,192
187,183,174
188,183,172
189,184,173
190,186,170
191,187,170
192,186,171
193,177,173
194,151,178
195,119,178
196,93,183
197,86,179
198,98,158
