id,xcentral,ycentral
0,?,?
1,237,156
2,238,158
3,238,156
4,237,156
5,235,151
6,229,135
7,221,129
8,221,131
9,230,146
10,243,178
11,252,205
12,253,217
13,251,189
14,237,149
15,224,137
16,223,129
17,217,125
18,223,141
19,231,161
20,237,185
21,247,200
22,253,204
23,263,177
24,294,180
25,325,191
26,352,205
27,352,193
28,283,161
29,218,154
30,166,159
31,126,162
32,102,168
33,118,159
34,175,146
35,223,146
36,260,149
37,314,163
38,344,176
39,347,179
40,325,159
41,280,147
42,228,143
43,195,152
44,202,168
45,214,178
46,246,193
47,281,203
48,316,201
49,332,191
50,328,170
51,309,151
52,281,133
53,213,118
54,153,128
55,139,139
56,140,156
57,154,174
58,183,195
59,218,210
60,266,216
61,325,215
62,338,177
63,323,158
64,297,140
65,270,125
66,200,121
67,160,133
68,148,142
69,155,155
70,170,179
71,193,192
72,227,204
73,264,217
74,315,218
75,336,182
76,298,143
77,264,126
78,250,130
79,253,153
80,261,180
81,262,204
82,260,232
83,250,193
84,244,172
85,230,148
86,218,132
87,198,122
88,179,120
89,181,120
90,207,140
91,221,163
92,223,190
93,225,204
94,224,198
95,226,165
96,244,144
97,285,147
98,329,165
99,356,180
100,360,181
101,316,151
102,225,139
103,142,149
104,92,170
105,69,183
106,83,171
107,147,150
108,245,146
109,360,187
110,365,200
111,363,194
112,367,191
113,245,149
114,178,147
115,129,154
116,97,166
117,106,161
118,145,151
119,199,145
120,251,146
121,262,147
122,246,159
123,237,188
124,244,203
125,245,193
126,233,159
127,225,135
128,216,122
129,207,114
130,204,116
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
