id,xcentral,ycentral
0,184,187
1,180,185
2,181,183
3,185,182
4,179,181
5,145,185
6,112,194
7,81,205
8,75,206
9,107,196
10,180,190
11,255,202
12,298,217
13,292,211
14,227,194
15,174,183
16,170,156
17,172,138
18,173,133
19,179,150
20,186,191
21,186,224
22,180,240
23,180,215
24,178,175
25,170,146
26,170,145
27,176,163
28,176,206
29,175,233
30,145,213
31,78,208
32,82,199
33,139,182
34,236,181
35,267,188
36,255,182
37,130,188
38,78,199
39,71,196
40,117,182
41,194,181
42,261,194
43,291,205
44,254,194
45,180,187
46,126,169
47,150,147
48,213,150
49,253,182
50,219,207
51,143,220
52,89,211
53,97,180
54,175,153
55,237,165
56,263,184
57,241,181
58,180,183
59,125,190
60,96,196
61,106,193
62,166,181
63,229,187
64,268,196
65,258,192
66,201,187
67,123,195
68,94,196
69,108,190
70,143,185
71,199,180
72,199,163
73,186,147
74,185,142
