id,xcentral,ycentral
0,249,154
1,248,156
2,256,160
3,254,158
4,254,157
5,255,156
6,287,160
7,339,171
8,370,182
9,384,187
10,381,188
11,345,169
12,287,154
13,199,150
14,144,157
15,115,162
16,126,158
17,172,147
18,229,141
19,291,145
20,344,158
21,374,169
22,384,175
23,357,159
24,281,140
25,223,138
26,181,139
27,136,146
28,127,145
29,149,134
30,198,124
31,217,122
32,229,135
33,247,169
34,247,191
35,249,209
36,248,194
37,247,164
38,245,139
39,248,125
40,249,111
41,246,109
42,245,111
43,245,122
44,247,135
45,249,163
46,250,188
47,253,205
48,251,201
49,251,176
50,253,157
51,255,134
52,255,126
53,249,113
54,249,114
55,255,120
56,256,128
57,236,130
58,181,141
59,131,151
60,107,160
61,113,157
62,138,146
63,186,139
64,231,133
65,283,138
66,328,146
67,358,156
68,367,159
69,359,153
70,312,136
71,280,130
72,233,126
73,192,127
