id,xcentral,ycentral
0,180,183
1,249,157
2,178,165
3,164,169
4,163,167
5,165,164
6,169,164
7,177,162
8,187,160
9,210,180
10,225,206
11,227,226
12,200,235
13,173,161
14,154,234
15,212,211
16,?,?
17,56,208
18,48,188
19,56,151
20,99,125
21,141,119
22,194,130
23,173,160
24,173,157
25,173,155
26,171,156
27,171,155
28,171,155
29,174,157
30,178,159
31,271,183
32,180,162
33,193,167
34,209,172
35,229,159
36,233,149
37,231,139
38,207,126
39,160,115
40,106,126
41,83,146
42,280,201
43,74,162
44,71,165
45,71,163
46,71,160
47,72,160
48,72,159
49,71,160
50,73,157
51,71,157
52,73,155
53,272,201
54,73,155
55,74,155
56,74,156
57,168,182
58,136,180
59,137,180
60,134,176
61,106,178
62,97,180
63,95,178
64,226,182
65,92,178
66,91,179
67,90,177
68,87,179
69,83,179
70,81,177
71,77,180
72,68,181
73,59,185
74,62,183
75,191,170
76,58,184
77,56,183
78,55,181
79,58,183
80,108,171
81,178,177
82,223,192
83,254,210
84,278,234
85,286,243
86,180,168
87,276,250
88,281,250
89,271,220
90,259,195
91,238,162
92,208,134
93,196,123
94,195,122
95,193,120
96,191,120
97,185,166
98,192,121
99,189,121
100,186,120
101,184,122
102,182,126
103,181,131
104,177,138
105,177,142
106,179,153
107,177,169
108,183,167
109,174,191
110,169,210
111,166,222
112,165,226
113,165,235
114,165,241
115,165,236
116,162,226
117,163,202
118,164,177
